Вопрос;Правильный;Ответ1;Ответ2
dsafjkhslkdjhflsdkjfhlskjdfhlskjdhflakjshdflkjashdf;1;sdfasdfasdfasdflkuhasdoijfhiosudhfoasjdhflkjashdfl;df,jhsgdfkjhasgdfkjhgadkfjhg
Как2?;0;12;2
Как?;1;Так;Так2
Как2?;0;12;2
Как?;1;Так;Так2
Как2?;0;12;2
Как?;1;Так;Так2
Как2?;0;12;2
Как?;1;Так;Так2
Как2?;0;12;2
Как?;1;Так;Так2
Как2?;0;12;2
Как?;1;Так;Так2
Как2?;0;12;2
Как?;1;Так;Так2
Как2?;0;12;2
Как?;1;Так;Так2
Как2?;0;12;2
Как?;1;Так;Так2
Как2?;0;12;2
Как?;1;Так;Так2
Как2?;0;12;2
Как?;1;Так;Так2
Как2?;0;12;2
Как?;1;Так;Так2
Как2?;0;12;2
Как?;1;Так;Так2
Как2?;0;12;2
Как?;1;Так;Так2
Как2?;0;12;2
Как?;1;Так;Так2
Как2?;0;12;2
Как?;1;Так;Так2
Как2?;0;12;2
Как?;1;Так;Так2
Как2?;0;12;2
Как?;1;Так;Так2
Как2?;0;12;2
